真实宽度_True,预测宽度_DBN
1185.52,1291.1028023183567
1261.17,1228.120671827788
1551.9,1222.3731608790629
1452.61,1357.5107623469355
1238.51,1330.915904543881
1362.14,1206.979611649206
1325.95,1196.9083397773136
1200.65,1335.7764339959647
1019.73,1204.6898653300655
1109.76,1213.5675544857302
1611.8,1206.4592072782336
1308.94,1201.9024523929186
1547.72,1392.555566702479
1257.17,1324.105738223461
1331.46,1266.32835024738
1111.18,1250.2914783637043
1296.67,1414.353897363331
1551.8,1331.8935058967547
1560.62,1266.913516196821
1289.82,1260.933163631762
1464.71,1505.7828406699336
1551.29,1222.780489828013
1498.02,1414.9492409357522
1254.18,1336.9178603619098
1487.03,1217.2979827908441
1317.14,1214.836584144989
954.97,1210.040086976927
1312.78,1321.2789160683446
1287.75,1395.4535645667834
1650.12,1452.1854275241044
1304.25,1345.4996980320018
1351.05,1398.0103478703043
1370.17,1424.6900527511227
1291.2,1281.5128553556187
1302.64,1255.0209750539116
988.63,1246.3904787827491
1549.5,1426.4434697676534
1017.86,1231.5056879057065
1745.55,1597.3522010912864
1493.4,1206.833483479882
1094.81,1195.5744392392853
1309.21,1240.5859707696118
1356.08,1405.7004774286736
1325.37,1204.714685353459
1325.6,1202.4524955817906
1241.88,1203.9657321730062
1746.93,1527.0602619707595
1427.47,1454.8457747178677
1303.74,1201.8532215453522
1308.33,1213.162216621242
1255.55,1216.5835199474755
1360.76,1242.9185150543321
1551.36,1398.4061878126695
1045.54,1226.501396537463
1019.6,1233.3923218228672
1185.5,1293.6617748351068
1690.46,1475.7757183421488
1287.0,1328.7151856860005
1170.19,1220.074337823633
1253.78,1407.6115607189486
1354.94,1385.0648829033576
1046.02,1226.6309029208965
1189.65,1258.3560822810966
1208.22,1195.2911129266404
1076.12,1194.8039059682746
1272.93,1159.0472229411116
1837.09,1443.6234549144644
1261.28,1294.9853246534963
1302.17,1241.1515566869612
1308.15,1350.7778726030638
1424.46,1227.883863070941
1303.35,1199.7817163016937
1413.25,1335.2971130183676
1110.75,1232.569518748113
1600.32,1416.6650037437
964.31,1184.019139829242
1213.56,1332.5030392520016
974.86,1223.6478090316243
1665.37,1327.809868964713
1311.66,1216.2446590404375
1740.44,1676.8406746218698
1018.12,1245.3761173649204
1488.92,1217.9968836537023
1285.59,1362.2603595026574
982.58,1121.6009479474935
1311.84,1335.010700036331
995.3,1193.8925033743044
1360.06,1286.3778048963584
1506.26,1459.443791774495
1069.4,1196.5806730930333
1549.35,1530.1941041391274
1325.21,1231.5658785368944
1485.69,1217.7815630858984
1073.45,1205.1565817818323
1535.15,1430.0411200091987
1341.83,1285.213498338253
1473.96,1263.3579602869313
1529.36,1384.362656397429
1371.46,1433.0294152037466
1127.83,1203.2644507664904
1286.18,1307.2625787526144
1302.36,1246.6326512139674
1302.51,1250.6449352626905
1084.16,1196.0622287376675
1287.41,1318.642849442114
1282.75,1319.2991413644731
1301.66,1247.0096618315376
1298.87,1214.823967937325
1195.07,1233.4686447431238
1726.25,1500.1633461235763
1411.8,1316.6027849292134
957.15,1233.671124371415
958.07,1192.1096920379694
985.06,1218.0637482281195
1273.03,1266.5891844678292
1275.35,1473.3847884047764
1323.44,1192.181946713247
1330.78,1274.4439850804733
1741.17,1552.5906009674784
1297.29,1322.6920763025232
1740.07,1556.3761752545515
1370.74,1428.1482354181376
967.16,1204.6416297559947
1287.38,1419.090247614492
1335.01,1428.9917112374787
984.04,1132.1613836104061
1389.92,1469.5475266326744
1169.12,1245.6115898303813
1245.02,1201.6928662698067
1743.52,1549.489737820483
1175.03,1196.3484504435432
1274.57,1339.1494189775804
1271.84,1354.2867047952789
1225.46,1219.9387226487959
1258.23,1251.8468603139124
1460.33,1216.5452557320714
1240.77,1528.0103805431975
1188.62,1242.659845223502
1203.44,1204.4880671479686
1295.5,1268.584582233681
1541.14,1434.9820531137887
1304.8,1320.7061744904943
1289.35,1305.138950593381
985.75,1214.4957484684455
1741.36,1468.6906085293801
1289.44,1357.3650675916235
1314.23,1354.1381230424404
1600.65,1464.7830048443184
977.87,1200.9185296611406
1284.97,1243.7207981938689
1738.16,1569.04213635638
1536.49,1444.9263481677283
1443.55,1450.4879705614726
1187.21,1330.4859621377468
1310.79,1201.1940599907039
1259.85,1333.043453394727
1251.55,1273.0101222290664
1336.75,1393.2907140102434
1544.66,1401.126275362263
1074.58,1143.6369004056996
1166.42,1226.195786763257
1272.17,1272.6597350888721
947.12,1158.903564792637
1431.2,1219.592437308123
935.3,1220.0948835828096
1236.2,1358.0406992784795
1078.49,1224.2068834217282
1341.16,1277.1211042549255
1432.46,1440.6269636686613
1340.7,1317.977057588915
1500.94,1410.7859339514603
1254.41,1388.6517048789128
1261.89,1231.096853120334
1340.37,1276.2844868471493
1690.66,1478.1366182193228
958.12,1239.8126744241497
941.37,1176.1209858480456
1549.52,1389.0995149619366
1256.81,1423.8872120037493
1185.28,1258.7546800743544
1015.06,1208.3608916902197
1666.36,1495.682659756108
1492.23,1232.4975495656674
1317.04,1157.0603100051517
1311.15,1242.3842286789907
1547.3,1362.0458683962638
1308.68,1347.5614349931761
945.67,1178.1460992258699
1289.72,1323.3645465038308
967.91,1195.3897180716767
1615.0,1223.539561927514
1354.03,1391.604459159083
1256.06,1394.0330685720533
1287.33,1324.7785271112543
1083.91,1195.5593039579726
1284.67,1385.2616846860674
1257.95,1230.7721584046838
1746.73,1576.0654579416487
1285.8,1433.079375945603
1246.82,1275.8478461409338
958.58,1198.527678164554
1402.9,1230.3133326014658
1080.37,1200.032528608909
1017.22,1240.0032587219293
1480.14,1336.7036431725057
1469.39,1307.7108468248791
1836.17,1486.373195579177
1156.78,1183.6766327936114
1276.62,1197.5457149560414
1486.9,1587.789979186771
1492.64,1357.878545115132
1287.04,1387.4269614390041
1290.1,1388.612114102957
1272.49,1344.7200311119007
1186.9,1303.305518343263
1282.76,1355.6251505358307
1746.11,1685.7319892675341
939.45,1139.6067108979007
1152.75,1406.5218707337838
1234.54,1410.1333836299304
1310.59,1310.7702145776743
1325.38,1415.814889113294
1099.5,1219.0886911153127
1719.14,1423.1773011371783
1271.96,1285.0271666260273
1793.75,1355.816462468525
1324.17,1193.3931461047412
1220.09,1161.9988159224656
1356.27,1250.460793582472
1357.31,1481.9189747451364
1302.63,1248.5852594224143
1089.82,1207.3286725191465
1292.78,1373.7274295827835
1332.91,1253.044216890824
1547.5,1431.3271578877225
1303.18,1273.6732778522492
1410.53,1277.7037806790522
1287.62,1398.4483804154377
1276.76,1374.0587010020356
1214.07,1405.874667354062
1018.98,1147.4979078863273
990.78,1241.336246059499
1253.96,1353.6165963173878
1166.03,1210.2334492307155
1287.07,1309.4451388389464
1309.22,1235.5839093331613
1191.1,1317.6717842562327
984.63,1230.0569217291477
1287.7,1363.0588752398066
1484.33,1427.2971383742624
1289.21,1321.2664749438795
1416.7,1203.49760404172
1447.38,1437.5167517614577
1441.24,1651.3630014068526
1547.5,1328.6281896817038
1376.64,1320.4514115904462
985.14,1131.5474871487104
1243.33,1200.4332925509332
1367.41,1390.3400405574437
1232.23,1312.3825132924292
1542.36,1440.0247261071604
1431.94,1437.9089755112461
1192.25,1202.4895543389373
1548.88,1293.8052727110116
1650.46,1450.4679408584625
1361.81,1415.2888162433976
1210.74,1228.3769978457356
1616.14,1225.281709536138
1287.93,1423.7298424364149
1325.8,1196.9262099579857
991.77,1235.91973944319
1560.33,1266.2067753165497
1282.33,1383.7175613778434
1546.17,1396.9043029224988
1056.49,1207.2469233451302
1304.71,1384.4826060561657
1294.95,1424.9230970635215
1191.92,1251.6143001268924
1342.59,1282.3421781331385
1323.34,1199.9969361873898
1681.88,1336.220674190302
1558.46,1265.9416132913707
1426.94,1213.7016814166657
1301.5,1274.2107829203155
1273.24,1349.5567721773634
1183.85,1283.3349293713877
1041.92,1234.119202531067
1316.92,1421.1332974716863
1355.18,1225.6253257294923
1554.5,1365.682592943701
1353.1,1385.858988812449
1243.16,1375.2267644458161
1362.93,1416.589944801519
1047.21,1249.6416162395408
1300.6,1263.310524333645
1646.21,1408.5961449458405
1410.66,1241.3953149759209
1156.78,1187.7723145858465
1139.12,1214.7775015633395
1310.38,1211.7472936220088
1556.71,1424.4715858545337
1157.33,1190.5443985063912
1256.6,1392.777254795028
1432.82,1438.8686908199463
946.45,1177.1843152750823
1018.05,1232.513121846014
1277.95,1326.8143586333001
1429.36,1346.976555544973
1500.48,1454.786601025209
1410.58,1268.7863138861326
1535.16,1434.888350923947
1048.78,1271.7352461156463
1311.83,1317.0979183039462
1282.55,1419.370931841648
1017.29,1210.7960792607232
1273.5,1348.1353048343926
1349.73,1401.9229214772847
1103.23,1219.6361759821127
1303.6,1265.097487195745
1110.67,1440.00634997904
1325.61,1255.5416998696357
1464.95,1344.093458400127
1065.89,1206.1642864517707
1187.41,1256.6139383018585
1392.41,1327.592181577768
1118.83,1203.142456605148
1294.0,1387.8248530345193
1304.41,1256.4823866809502
1371.16,1430.9551783470154
1283.71,1227.7102450063571
1447.15,1411.6027743471116
1543.16,1440.2349529332523
1454.72,1371.574204491346
1257.64,1245.1471408769355
1394.39,1377.2544407755709
1448.29,1216.5703901946647
1253.85,1320.3584333696035
1475.96,1386.0968552869717
1560.53,1261.4316293011432
1193.41,1244.8310333257868
1018.97,1235.120160520411
1339.98,1200.1633651829138
1549.52,1349.2028621653403
1413.62,1305.5401129177878
1205.01,1201.3627177731942
1159.89,1202.135340710715
1354.24,1417.6774059908505
1323.25,1191.2898074434877
1313.9,1190.0737075188233
1249.94,1235.6552405245322
1741.26,1564.474080709949
1369.24,1411.6869888893307
1014.93,1210.015730567703
1394.57,1491.9873660482488
1292.33,1199.7876464140643
1053.72,1183.5600115799052
1750.12,1601.5128513585373
1349.83,1357.2264110756664
1151.4,1400.3785635204013
951.38,1201.1861314121572
1789.29,1352.8924654562156
1285.71,1429.5055062156703
1675.86,1411.0237401270463
1289.06,1416.1135283201816
1200.74,1230.2521886564102
1470.21,1264.7937816183894
1290.93,1274.9260688729412
1446.41,1217.9591166275786
1190.23,1189.9858044166385
1239.41,1486.7782113730736
1288.3,1372.7575215427241
1083.5,1236.64126783451
1328.03,1403.686021786761
1049.14,1218.5361945389561
1563.26,1379.7573220995268
1312.98,1325.3895539186235
1055.01,1206.3847472362397
1746.84,1467.7722593553713
1371.28,1360.6995912086213
1177.0,1338.1931263595868
1395.17,1236.7402646861553
1048.33,1257.827775485776
942.99,1174.814371931566
1312.09,1218.3542110979333
1564.07,1228.24389322822
1357.94,1202.01966664722
1291.14,1317.7650043587726
1748.98,1546.9636091051568
1303.88,1235.1680385035531
1307.04,1208.0294727880612
1238.49,1482.0807994755712
1253.45,1204.103480782544
1181.75,1197.702228453174
1157.64,1190.5464895864318
1271.64,1364.3280834971406
1054.75,1210.184429905943
1138.37,1194.918367304033
1312.6,1322.5065595592403
1285.01,1429.9013313601927
1272.73,1350.474456791467
1678.82,1404.3705073596486
1193.82,1302.7543526179961
974.33,1152.812348512916
1287.79,1371.0487030377956
1534.9,1441.0355243002434
1049.72,1208.7280253705155
1303.55,1245.2008732798724
1300.92,1244.1451903769637
1353.47,1386.176153663464
1108.35,1423.9491266292325
1412.19,1315.4489383141404
990.24,1243.2138493100276
1243.4,1341.0161435523264
1033.84,1319.3971733231538
1193.52,1242.8560765203972
1054.89,1206.7674250168852
1179.58,1482.7389930220086
1103.94,1148.7806592282543
1230.92,1372.7049437435646
1539.72,1435.287643191502
1284.0,1434.6940909222076
1169.5,1196.2246539107755
1273.62,1401.5541176178122
1340.26,1438.1919328989986
1321.06,1127.04540082881
1159.08,1245.8416044719884
1362.45,1423.6272597022491
1188.06,1207.5442579036933
1075.82,1195.0110942834585
1286.46,1208.7269960439933
975.94,1143.369459328359
1539.29,1433.737288791125
1284.18,1432.7750630204068
1289.0,1323.8916554005425
1184.94,1295.9608891097187
1159.86,1263.810066050957
1261.94,1314.0196940259134
1286.11,1424.112538013108
1529.89,1382.0484742211788
1420.19,1633.9329271455224
1582.32,1368.4077614807115
1432.34,1449.5238192158151
1499.13,1324.176320739005
1376.55,1344.9525840814442
1127.77,1198.5516539336293
1404.42,1472.3790635111754
1554.94,1463.3922457276458
1675.13,1410.3148177870155
986.11,1218.5267061664247
1310.71,1307.0969855054489
1054.78,1205.8495039021836
1686.32,1520.153918030409
971.93,1219.0161824622592
1548.66,1421.4170628391587
1270.12,1150.9318637800425
1288.68,1256.9597392047317
1546.86,1301.295052467699
1487.0,1358.9979160002324
1412.82,1320.129465900405
1540.18,1437.8288229386048
1520.16,1350.7345752220044
1255.36,1399.3603899706427
1483.08,1214.4368574858524
1263.18,1236.4369121962666
1082.85,1208.016357489654
1270.98,1252.1051402998548
1312.66,1327.3347232145243
1289.35,1389.7956203112296
1326.85,1208.247628061147
1234.22,1279.8176233230072
1275.04,1348.153697083472
1353.01,1379.5710097485605
1544.62,1412.0556584121236
1018.38,1228.5427027397207
1214.57,1188.2942770484776
1209.38,1302.4057762538916
1155.17,1261.7554988567458
1291.5,1384.3810712470327
1545.85,1396.2006979389162
1295.18,1345.0895504705986
1791.6,1412.5023797755516
990.91,1230.5212099080595
1191.56,1360.4213451549422
1196.69,1153.112886152342
1303.06,1274.6969226638917
1257.3,1339.2291881908898
1136.13,1199.3305808952002
1305.79,1273.024190806079
1549.89,1408.9105448336497
1109.11,1444.8222171376863
1276.24,1370.2071961514441
1323.48,1201.4441095755851
990.44,1249.5670176928809
1836.32,1486.517997632223
1499.67,1348.4391302337249
1298.36,1381.4672983571954
1075.78,1348.6209745985504
1471.15,1397.8625098974105
1269.13,1375.0535034796242
1281.99,1280.181143131468
1576.5,1233.992189419919
