真实宽度_True,预测宽度_DBN
1185.52,1184.1550687369236
1261.17,1248.1338934465164
1551.9,1565.013282509025
1452.61,1447.3093261347894
1238.51,1259.798882150048
1362.14,1348.289414904884
1325.95,1320.3362325282283
1200.65,1185.7196747593503
1019.73,1020.6352651270709
1109.76,1119.1622011453078
1611.8,1598.7438168831316
1308.94,1301.326643235247
1547.72,1547.7157824851834
1257.17,1259.8818369093672
1331.46,1310.6950167139626
1111.18,1104.703191467643
1296.67,1302.9896892065499
1551.8,1536.2594978238144
1560.62,1556.3880003140457
1289.82,1304.5941902931606
1464.71,1465.161369700753
1551.29,1559.6659528907421
1498.02,1506.4687395775447
1254.18,1243.4271424325104
1487.03,1486.8883795612219
1317.14,1307.213375079479
954.97,956.8768066749093
1312.78,1312.644884835821
1287.75,1292.5440673576456
1650.12,1631.624177982375
1304.25,1311.2876272986762
1351.05,1350.7140483786168
1370.17,1368.6737253536608
1291.2,1286.5548299974025
1302.64,1297.0134825062232
988.63,1000.4721075399282
1549.5,1545.3847634335066
1017.86,1019.6320807497038
1745.55,1749.433043790634
1493.4,1485.2446075294201
1094.81,1077.3955310025776
1309.21,1305.4801822422173
1356.08,1351.9508592858767
1325.37,1319.0822758683887
1325.6,1315.8131068108348
1241.88,1246.1287614813036
1746.93,1751.1121741391114
1427.47,1454.171509470387
1303.74,1291.0259215992396
1308.33,1339.2665222955793
1255.55,1245.1307886486736
1360.76,1352.7297800560004
1551.36,1551.4053566985708
1045.54,1039.823859461229
1019.6,1021.3993610118513
1185.5,1177.598871699875
1690.46,1687.6141700107328
1287.0,1290.0354005146219
1170.19,1167.0375825901929
1253.78,1247.6914287826175
1354.94,1355.4528778920958
1046.02,1029.3630906028834
1189.65,1186.7068098606899
1208.22,1201.87441233684
1076.12,1056.1935035761744
1272.93,1261.9013116010833
1837.09,1815.355190832005
1261.28,1255.6225211279093
1302.17,1286.6268477949245
1308.15,1299.7258919144751
1424.46,1407.8058862505407
1303.35,1285.048932941393
1413.25,1405.8220625730582
1110.75,1092.6110446394925
1600.32,1600.2961788064124
964.31,969.2264919908416
1213.56,1200.691892458347
974.86,1006.6533695296224
1665.37,1654.228416747736
1311.66,1299.3913200993102
1740.44,1734.210466625459
1018.12,1034.8884576063367
1488.92,1495.3793465511615
1285.59,1274.8785760784756
982.58,966.1112895496583
1311.84,1301.3634067957553
995.3,980.719933522552
1360.06,1357.0534431973856
1506.26,1508.8172620812136
1069.4,1067.7512307395752
1549.35,1571.355510227997
1325.21,1339.7685286533815
1485.69,1491.7980347897328
1073.45,1075.8350014459907
1535.15,1535.9900206507666
1341.83,1352.072557879106
1473.96,1454.6482021640934
1529.36,1543.0840976360275
1371.46,1375.1890225268971
1127.83,1111.0212261025308
1286.18,1312.9918424855396
1302.36,1296.939317759649
1302.51,1298.8216952290136
1084.16,1070.3540750440502
1287.41,1278.8234400403753
1282.75,1280.112904383351
1301.66,1299.783889794805
1298.87,1289.5541230113888
1195.07,1178.6355663844902
1726.25,1733.6417212197557
1411.8,1406.7634145025918
957.15,968.9265626086153
958.07,952.5377402554482
985.06,987.9705531713671
1273.03,1272.6774066157868
1275.35,1259.956988862851
1323.44,1313.4020619026173
1330.78,1325.5095519491476
1741.17,1749.7020198685377
1297.29,1297.2611882829456
1740.07,1738.6948659936756
1370.74,1364.681440015528
967.16,971.6429741921756
1287.38,1280.6299065844407
1335.01,1322.9652499659276
984.04,976.9670517147945
1389.92,1381.1387880982368
1169.12,1185.578716590707
1245.02,1231.5065155552993
1743.52,1744.7285184174386
1175.03,1161.8769501438676
1274.57,1272.1002542363965
1271.84,1271.389548103775
1225.46,1222.8251710358106
1258.23,1265.296791771848
1460.33,1471.4516525479808
1240.77,1234.688806701274
1188.62,1181.3229135326678
1203.44,1189.5445521548072
1295.5,1311.4611875610315
1541.14,1541.9658118409666
1304.8,1309.4642624823
1289.35,1302.1044711073882
985.75,990.654286311568
1741.36,1745.74521651813
1289.44,1288.986510315905
1314.23,1306.7418015339997
1600.65,1596.3232110500342
977.87,994.9827022942318
1284.97,1302.3920999722159
1738.16,1735.8921762639288
1536.49,1535.0831944239224
1443.55,1449.412103477881
1187.21,1192.6542422949492
1310.79,1289.6157505974004
1259.85,1259.3138913418693
1251.55,1247.7809235315328
1336.75,1329.0292252835463
1544.66,1550.005859677771
1074.58,1068.0220360393823
1166.42,1147.4007598560625
1272.17,1273.7432214561118
947.12,935.5508619396503
1431.2,1423.506007634386
935.3,931.2713748192825
1236.2,1235.8031623647475
1078.49,1070.9229125028207
1341.16,1341.3478826451476
1432.46,1433.9900186491898
1340.7,1342.7463872116864
1500.94,1506.3080453265661
1254.41,1251.0286687136613
1261.89,1265.4776873415574
1340.37,1335.040935659706
1690.66,1681.9351114731244
958.12,971.6940989624178
941.37,942.9411254523143
1549.52,1555.4730345052071
1256.81,1261.7859038588451
1185.28,1184.9438041164876
1015.06,1020.5514911278913
1666.36,1677.9404319414905
1492.23,1492.2117177419032
1317.04,1311.103942152165
1311.15,1296.1279238705079
1547.3,1549.2194694119246
1308.68,1309.1401803473232
945.67,949.4412554025341
1289.72,1288.5444222306241
967.91,973.625166192845
1615.0,1614.066016339987
1354.03,1351.241230943507
1256.06,1252.5380603056594
1287.33,1284.6976298524428
1083.91,1106.5376581076644
1284.67,1281.666364708434
1257.95,1252.7478959851703
1746.73,1743.7273143199232
1285.8,1299.088270191173
1246.82,1274.0451217541702
958.58,955.4862915180208
1402.9,1401.868397459165
1080.37,1068.1163622974998
1017.22,1025.2654452675056
1480.14,1461.7502717572609
1469.39,1474.3330164959225
1836.17,1860.7799705566858
1156.78,1156.5458559666904
1276.62,1263.5227361849938
1486.9,1483.800137354654
1492.64,1492.419030234484
1287.04,1294.1717457246134
1290.1,1293.9206327458814
1272.49,1269.4906848075864
1186.9,1185.4249269744696
1282.76,1272.5680028847933
1746.11,1743.638392023894
939.45,939.3066813746316
1152.75,1163.9670944112002
1234.54,1234.2846504665451
1310.59,1296.1672407213518
1325.38,1327.5928770277683
1099.5,1078.938920099331
1719.14,1730.023629107353
1271.96,1278.9324614280254
1793.75,1797.2388106849048
1324.17,1312.2483933755127
1220.09,1221.5129684251453
1356.27,1353.1189333324542
1357.31,1356.7182981029005
1302.63,1300.7045765387893
1089.82,1086.6203370186886
1292.78,1300.1417564176654
1332.91,1337.5737793999074
1547.5,1540.0478316396282
1303.18,1302.776450911786
1410.53,1400.33391388088
