真实宽度_True,预测宽度_LightGBM
1185.52,1185.5063394872745
1261.17,1257.2925760317448
1551.9,1558.1551861101887
1452.61,1453.5757792045347
1238.51,1247.052768079913
1362.14,1364.6960785350218
1325.95,1324.5339756438357
1200.65,1195.2326455186928
1019.73,1015.5038723488649
1109.76,1114.2665686985868
1611.8,1609.7659961636587
1308.94,1302.985250752119
1547.72,1544.5148469999888
1257.17,1265.0536251347837
1331.46,1335.2555766669548
1111.18,1108.3277688892379
1296.67,1295.6998214178038
1551.8,1553.4668568433613
1560.62,1553.4958452478302
1289.82,1289.7081630115451
1464.71,1462.7351917117169
1551.29,1562.6962947394684
1498.02,1495.6959895744612
1254.18,1260.690968645353
1487.03,1471.6366309685388
1317.14,1314.2945097298486
954.97,954.9105045641347
1312.78,1316.4896187872168
1287.75,1286.117651645323
1650.12,1647.7754838192614
1304.25,1303.9949497112596
1351.05,1347.5814903133887
1370.17,1371.5597520637448
1291.2,1288.0904378335347
1302.64,1302.196913754774
988.63,992.2940993356312
1549.5,1547.511849133657
1017.86,1012.3624051904754
1745.55,1746.3901616888434
1493.4,1507.795427282631
1094.81,1082.0982768363785
1309.21,1317.6454495350806
1356.08,1355.447725019815
1325.37,1336.608292226249
1325.6,1324.5030536813058
1241.88,1243.8733193037608
1746.93,1742.510859947102
1427.47,1421.3755278844462
1303.74,1301.5170097025414
1308.33,1313.891738045798
1255.55,1261.1079594843932
1360.76,1353.4230920921427
1551.36,1561.0263403039057
1045.54,1048.9399837603783
1019.6,1017.7614533405977
1185.5,1191.2734578666955
1690.46,1692.9248038854746
1287.0,1291.6282661152013
1170.19,1169.781390526953
1253.78,1254.5758791391577
1354.94,1357.1842019599546
1046.02,1046.5215394331383
1189.65,1187.3795256341332
1208.22,1211.5945900518593
1076.12,1071.9022135518026
1272.93,1276.054248378624
1837.09,1846.707745822107
1261.28,1266.7493222213357
1302.17,1302.6412841605402
1308.15,1334.4017009306472
1424.46,1409.5478844585928
1303.35,1304.997532749743
1413.25,1412.9243846448612
1110.75,1111.0585417385453
1600.32,1610.403909575199
964.31,971.1774075380175
1213.56,1209.6573742206774
974.86,966.4729329352712
1665.37,1669.0927408162377
1311.66,1289.440074722948
1740.44,1742.168374158708
1018.12,1018.9650937163318
1488.92,1473.488635443943
1285.59,1285.5727652697892
982.58,971.0299357283053
1311.84,1313.3074986474198
995.3,998.2940382796156
1360.06,1356.1574113690017
1506.26,1523.2538719654242
1069.4,1065.7200907022766
1549.35,1543.809852873615
1325.21,1321.2846014379345
1485.69,1479.4635177399273
1073.45,1084.414111824876
1535.15,1534.8862725088752
1341.83,1347.4533593391868
1473.96,1448.5699189482655
1529.36,1510.5734039943304
1371.46,1361.4650436705292
1127.83,1109.7498463584573
1286.18,1298.91109824832
1302.36,1300.8080656974148
1302.51,1309.4667492472402
1084.16,1080.8215852313515
1287.41,1294.8665675533987
1282.75,1282.739629785709
1301.66,1302.7285354290448
1298.87,1296.1238435011107
1195.07,1198.6337649327513
1726.25,1740.429321575778
1411.8,1409.163100101621
957.15,963.9096079940613
958.07,962.6493894690753
985.06,986.3443252998334
1273.03,1274.8701848445485
1275.35,1277.1595053967014
1323.44,1323.1462476881975
1330.78,1336.45411168675
1741.17,1740.836633451381
1297.29,1299.5555383195467
1740.07,1743.1020943111791
1370.74,1370.9178686675266
967.16,962.0928422781103
1287.38,1287.9979518027249
1335.01,1331.8083551133907
984.04,978.9959418955954
1389.92,1386.0679614977537
1169.12,1148.3278089705182
1245.02,1247.6816600966326
1743.52,1743.7901628069303
1175.03,1178.7198632915101
1274.57,1272.3197505996993
1271.84,1271.7275898575083
1225.46,1233.3801844765462
1258.23,1263.4102679078712
1460.33,1461.3177484853622
1240.77,1241.4466572025026
1188.62,1188.130404096866
1203.44,1203.2021990389214
1295.5,1291.3148052425197
1541.14,1538.2195980597028
1304.8,1302.0416225095546
1289.35,1288.536578850333
985.75,986.0173053269838
1741.36,1743.3595304471103
1289.44,1288.5455716674765
1314.23,1312.4331004935116
1600.65,1595.3391420986748
977.87,987.2750801869585
1284.97,1286.8502790945208
1738.16,1741.2527205647466
1536.49,1538.7307050901788
1443.55,1432.584560340105
1187.21,1185.1217642134636
1310.79,1315.4274551166684
1259.85,1250.5436398823588
1251.55,1248.903255313734
1336.75,1343.361877477701
1544.66,1544.4125774985202
1074.58,1077.0465174812125
1166.42,1158.7627162371812
1272.17,1272.4865419132093
947.12,947.1654164918142
1431.2,1437.770334748347
935.3,935.8011106939414
1236.2,1244.6481414850718
1078.49,1078.542052901069
1341.16,1342.459220396266
1432.46,1425.7226899538257
1340.7,1335.6566956095642
1500.94,1506.5350262893335
1254.41,1255.9391006992269
1261.89,1258.9932324888478
1340.37,1337.5311948944975
1690.66,1696.3488207662597
958.12,960.8633917325268
941.37,941.4213560182154
1549.52,1556.120026727524
1256.81,1258.1064817485974
1185.28,1187.6343104030798
1015.06,1010.8968152047171
1666.36,1668.5453341270158
1492.23,1489.7624290070507
1317.04,1316.8028366515944
1311.15,1310.2332326750598
1547.3,1530.0205751368137
1308.68,1305.0031764744722
945.67,947.7958720224437
1289.72,1294.003918395136
967.91,971.3054622206588
1615.0,1613.2171555284226
1354.03,1354.499075226558
1256.06,1254.9808558393304
1287.33,1289.4591618290283
1083.91,1085.8355714729146
1284.67,1280.632367161464
1257.95,1254.6207095196685
1746.73,1746.6566917198738
1285.8,1288.8095869193914
1246.82,1241.2372022995164
958.58,957.2140711469605
1402.9,1405.310330299955
1080.37,1081.2602450619206
1017.22,1018.3902221499583
1480.14,1498.3964100160317
1469.39,1471.8909743384309
1836.17,1847.6190376279326
1156.78,1159.9227887407142
1276.62,1288.3035115343448
1486.9,1489.4256539525104
1492.64,1493.0852721758524
1287.04,1288.6151406986526
1290.1,1290.3613581420982
1272.49,1269.8568203065568
1186.9,1187.106716335879
1282.76,1285.6582152405085
1746.11,1745.6296591248984
939.45,935.9724365377957
1152.75,1156.596933379362
1234.54,1240.5509263047406
1310.59,1311.7490211189947
1325.38,1318.6538398485716
1099.5,1104.9711185078677
1719.14,1718.9390271502366
1271.96,1276.8435345462683
1793.75,1800.300833097204
1324.17,1324.3919719722066
1220.09,1216.7369172636568
1356.27,1350.27896988514
1357.31,1358.2570333246283
1302.63,1302.794433394629
1089.82,1090.828599260377
1292.78,1292.432424191552
1332.91,1331.181314240106
1547.5,1549.8524028300371
1303.18,1304.5186071403493
1410.53,1390.1089207335353
1287.62,1282.7962491368737
1276.76,1273.5222736710757
1214.07,1200.5254608621528
1018.98,1008.465340271484
990.78,989.2116386402635
1253.96,1250.422181577051
1166.03,1162.371583140479
1287.07,1285.7988281704465
1309.22,1311.2420240490962
1191.1,1189.524961264124
984.63,969.3815753453813
1287.7,1286.8685750152383
1484.33,1487.4551735362893
1289.21,1288.1848300022868
1416.7,1414.6672728365147
1447.38,1448.7219419258297
1441.24,1427.3861781922926
1547.5,1549.3316960615846
1376.64,1381.5339344735512
985.14,998.2108078210829
1243.33,1253.668688789598
1367.41,1369.5154311861536
1232.23,1234.8910432255336
1542.36,1542.881419484675
1431.94,1432.6167437706617
1192.25,1191.5315740279113
1548.88,1547.6075340782888
